job_role,Requisition id,Location,job_description
,,,
"Senior Full Stack Developer [ Javascript, Angular 2+, Java, Spring ]",  R-78136,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Senior Full Stack Developer [ Javascript, Angular 2+, Java, Spring ],Overview,• The Enterprise Consumer Digital Platform team is tasked with developing enterprise wide reusable critical components that comply with MasterCard standards.,• This position will be tasked with successfully developing, designing and modifying the components of the Enterprise Consumer Digital Platform specifically around consumer communication and customer support aspects of the platform.,• Individual will work with a cross functional team of technical and business owners to deliver world class solutions to business problems.,• Do you enjoy doing something a little different each day you come into work?,Role,• Partner with technology and business teams to identify innovative solutions and drive strategic decisions.,• Develop, test and implement code that complies with MasterCard standards and uses all tools at your disposal to ensure quality delivery.,• Work with cross functional teams in multiple locales around the globe to deliver projects and products in alignment with business objectives.,• Deliverables will include code, unit tests, automated tests, documentation and transition documents for support teams.,• Lead, train and resolve issues for broader technology team across MasterCard Technologies.,• Provide recommendations to Management on selection of technologies and strategic technical direction for the department.,All About You,•Understanding of both Waterfall and Agile methodologies and situations in which each can be successfully utilized,•Experience in Java development and web services delivery. Java 1.6 and later, Angular 2+, Jenkins Spring framework, Javascript, JSPs, Database – Oracle, SQL queries,Good to have:  Worked on Weblogic/JBOSS servers,•Experience with test-driven development,•Experience with continuous delivery tools required.,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-78136"
,,,
"Technical Writer [ SOAP / REST Webservices, Documentation and Excellent Communication Skills ]",  R-78636,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Technical Writer [ SOAP / REST Webservices, Documentation and Excellent Communication Skills ],Overview,Prepaid Management Services is the division of MasterCard that concentrates on Prepaid Solutions such as our Multi-Currency CashPassport product.  Traditionally focused on the Travel sector, this business unit is driving forward Prepaid throughout the world with innovative and leading solutions that we integrate with Global brands.  This role is within the Prepaid Operations & Technologies (O&T) group which is part of the wider MasterCard Operations & Technologies group.  We provide high quality evolutionary and operational capabilities to support the MasterCard Prepaid Management Services business.,The main responsibility of a Technical Writer is to write software documentation for a new, modification, or as-is system or application.,Questions about you.  Have you:,• Experience in a set of documentation for systems project and process management?,• A background in problem-solving and innovation?,• The ability to learn and explain new technologies?,• Demonstrated communication, interpersonal, and negotiation skills?,Role,You will report to the Lead Systems Analyst and will be responsible under minimal supervision for:,• Writing, publishing and maintaining high-quality internal technical documentation.,• Organising existing documents, identifying documentation needs, and spearheading efforts to fill in gaps.,• Collaborating with System Analysts, Architects, Product Managers, and Technical Program Managers.,• Identifying user needs and use cases to prioritise documentation work.,• Ability to communicate complex and technical information more easily within the Confluence Knowledge Base.,• Become a subject matter expert for the areas you work on.,• The position is based in Peterborough, UK or Pune, India.,All About You,• Relevant experience, such as technical writing, product documentation, or online publishing including experience with writing technical customer-facing materials.,• Excellent written and spoken communication skills.   (Can converse in clear business English).  Ability to communicate effectively with Systems Analysts, System Architects, development teams and the Prepaid Business.,• Able to document solutions in Functional\Technical\Interface Specifications, User Stories, Use Cases and Use Case Models.,• Experience in project and process management of a documentation set.,• Background in problem-solving and innovation.,• Ability to learn and explain new technologies.,• Demonstrate communication, interpersonal, and negotiation skills.,• Able to work independently with minimal supervision.,• Able to document and understand business process models.,• Knowledge and experience of data modelling techniques.,• Able to use MS- Office products including Visio to produce documentation of a high quality.,• Able to work flexible hours due to the nature of a global business.,Desirable or additional capabilities:,• Working in a global organisation with teams and colleagues that span across multiple geographies and time zones.,• Technical Pre-sales experience.,• Cards background and business knowledge.,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-78636"
,,,
Enterprise Architect,  R-78778,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Enterprise Architect,Enterprise Architecture,Job Overview:,The primary role of an Enterprise Architect is to contribute to the development of the company's enterprise architecture practice. This person works with both business and IT stakeholders, as well as with other Enterprise Architects, to support business alignment and optimization by combining each of the enterprise architecture viewpoints to specify solutions for strategic business opportunities. This role will develop an integrated view of the enterprise solutions using a repeatable approach, cohesive framework, and available industry standard techniques. The primary focus is the identification and planning of common solution capabilities, development of common solution patterns, and development of business solution specifications for particular opportunities.,Major Accountabilities:,Build a Business Capabilities based Technology strategy. Build and maintain strong ongoing relationships with key business partners, IT partners, and portfolio managers associated with each assigned business segment. Continually communicate and build consensus on enterprise solution architecture with both IT and business partners. Provide technical perspective, alignment, and collaboration with business partners on new business efforts. Partner with business architects and portfolio managers to understand business vision and identify future platform capability needs to drive planning efforts. Contribute to the effort to incrementally develop a fully documented enterprise solution architecture and continually refresh it. Support the necessary ongoing efforts to incorporate the framework and documented enterprise solution architecture into organizational culture and processes. Research, identify and validate business value of new and emerging technology trends and capabilities in the context of the enterprise solution architecture. Contribute to ongoing technology investment planning for IT portfolio domains based on the common capabilities identified in the solution architecture. Apply a structured solution architecture approach and methodology for capturing the key views of the enterprise. Assemble solutions from existing and planned business and technology (foundation) capabilities, identifying gaps as necessary. Translate business needs to technical capabilities for inclusion in platform roadmaps. Communicate available and planned business/technology capabilities and identify capability gaps. Promote & converge solutions to common technology foundation. Partner with Enterprise Business Architects to ensure solution architecture is aligned to the corresponding business architecture elements, as well as to inform the business architecture of emerging technology trends. Partner with Integration Architects for planning of current/future foundation capabilities and for developing target state architectures for business solutions.,Education (preferred):,• Bachelor's Degree in Computer Science, Engineering, Information Systems or Business.,• Advanced degrees desired,• Knowledge of Enterprise Architecture frameworks preferred,Knowledge / Experience (preferred):,• Must have experience with Business Capabilities based Technology strategy.,• 10 to 15 years related experience in multiple verticals like Banking, Financial Services, Payments, Insurance, Retail, Technology etc.,• Minimum of 5 years in an Enterprise Architecture capacity within a large company,• Proven experience developing enterprise solution architecture,• Strength in all domains across the enterprise with deep expertise in 2 or more technology domains,• Experience leveraging a variety of architectural frameworks and tools to develop and promote architecture.,• Experience driving strategic alignment of IT with the business.,• Experience creating a common architecture vision with IT and line of business leaders.,• Experience defining processes for IT governance.,• Demonstrated ability to develop technology strategies that support IT and business strategies,• Experience in the discovery, analysis, and application of industry trends.,• Experience facilitating cross functional teams and building consensus.,Skills / Abilities:,• Excellent interpersonal and problem solving skills,• Previous exposure to Domain Driven Design preferred.,• Ability to effectively communicate abstract concepts in verbal and written, and visual forms,• Ability to translate between technical and business language and concepts,•A broad, enterprise-wide view of the business and appreciation for strategy, processes and capabilities, enabling technologies, and governance,•The ability to recognize structural issues within the organization, functional interdependencies and cross-silo redundancies,• Ability to effectively collaborate in a geographically distributed environment,• Ability to develop a strategic direction and lead in areas that have a high degree of ambiguity,• Ability to build strong relationships with a variety of business and IT stakeholders at all levels,•Team player able to work effectively at all levels of an organization with the ability to influence others to move toward consensus,•Strong situational analysis and decision making abilities,• Demonstrated thought leadership on major strategic or transformational efforts,Working Conditions:,• Limited travel,• Typically Monday – Friday,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-78778"
,,,
"Consultant, Software Engineer (Java with Angular JS 2 and above)",  R-78549,"Vadodara, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Software Engineer (Java with Angular JS 2 and above),Overview,• Responsible for the analysis, design, development and delivery of software solutions,• Defines requirements for new applications and customizations, adhering to standards, processes and best practices,Responsibilities,• Ensure quality of one or more application codebases and alignment with development standards,• Applies technical capabilities within own discipline to coach and develop junior employees,• Provides input into performance appraisal process for some junior employees or team members,• Designs highly complex applications, interfaces and integration with a modest number of systems,• Integrates at an enterprise level using third-party middleware or messaging products, or by designing and implementing custom interfaces and mapping for those interfaces,• Responsible for performance engineering of the enterprise software architecture, and providing functional guidance, advice, and/or training to other application developers,• Modest advanced code development, code review and day-to-day support duties,• Group-wide and external public speaking and other communications conveying domain level directions,• Researching and evaluating tools to support domain-specific needs,Experiences,• IT experience including requirements gathering and relationship building with business clients,• Able to lead project teams, collaborate with business partners, vendor/ consulting organizations and peer level professionals from other IT disciplines,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-78549"
,,,
"Consultant, Technical Program Management",  R-79322,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Technical Program Management,Are you a technical program manager who wants to shape the cloud platform for Mastercard’s digital, marketing, loyalty, and business services (DML) products? Do you want to work for a company that offers above and beyond benefits including paid parental leave, flexible work hours, gift matching, and even volunteer incentives?  Do you want to work in an inclusive and nurturing culture that encourages your own professional learning and development?,Over the next 12-18 months, we are breaking up our DML monoliths and re-platforming features into re-usable micro-services and APIs while we continue to innovate and deliver results for our customers. All net new capabilities will be built on the DML cloud platform supporting multi-tenancy and multi-geography capabilities for the company.  We are looking for seasoned technical program management professionals to join our team and help us build towards the future.  Our Technical Program Managers (TPM) conceptualize, rationalize, and drive multiple simultaneous projects to deliver engineering work across the portfolio in our scrum execution model. In this role, you get to dive as deep as you want into the tech stack, the integration patterns, the organizational capabilities, and the company wide assets that can be leveraged to provide technical solutions to customer problems.  You will contribute to the strategies, design choices, and even the cloud infrastructure necessary to build comprehensive believable and achievable execution plans to deliver high-profile new features and capabilities for our customers.  You may drive the execution of a feature through the full stack or may drive a project which spans multiple teams and integrations, reporting meaningful status along the way.,ABOUT YOU,• Demonstrated ability to operate with independence and autonomy,• Experience defining and building cloud-native software products as a platform at scale with a deep understanding of those platforms capabilities and underlying technologies.,• Demonstrated experience breaking down problems, organizing work, planning sprints, and delivering technical programs in agile delivery models (scrum, Kanban, etc.),• Experience working on programs to define and build cloud-native software products as a platform at scale,• Enjoys diving deep to understand of the platforms capabilities and underlying technologies.,• Proven track record of data driven decision-making and applying continuous improvement methodologies across teams,• Can debate the delivery strategy with business teams, architects, engineers, and designers,• Can communicate to executives, peers, and staff with impact, eloquence, and authenticity,• Demonstrated experience building relationships, partnering with and influencing dependent teams while commanding the respect of the individuals you work with across the organization,• Huge plus if you have expertise in Payments, IaaS, PaaS, serverless technology, CI/CD, NoSQL databases, microservices APIs, and distributed systems operations in a DevOps model,• BS in engineering, computer science or related discipline.,• 5-7 years technical program delivery experience including time developing and testing software,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-79322"
,,,
"Associate Senior Specialist -Client/Customer Support (Credit/Debit/ Prepaid cards/Card lifecycle and Unix, sql, pl/sql)",  R-77691,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Associate Senior Specialist -Client/Customer Support (Credit/Debit/ Prepaid cards/Card lifecycle and Unix, sql, pl/sql),Overview,Global Customer Service acts as a single point of contact for our external customers and internal business partners. GCS completes analysis of wide variety of customer business and technical inquiries, providing end-to-end ownership. GCS is in essence ‘The face of MasterCard’ to ensure our customers receive world class support.,Purpose of job,Specifics,Role,• Capture detailed and accurate information about issues, concerns and enhancements,• SLAs and daily deliverables,• Resolving and responding to clients issues- quickly,• Meet or exceed target departmental objectives related to key performance on issue resolution, customer satisfaction and overall availability to handle customer inquiries,• Liaise with regional and country teams to understand the dynamics of the market and potential service and efforts needed to support operational inquiries,• Provide world class support leveraging our Shared Service support model while integrating new procedures across a regional and global network,• Communicate frequently and clearly with different products and understand future enhancements,• Create documentation materials to be leveraged in a re-useable scalable way so that the product line can be supported on a global level with minimal effort,All About You,• Card domain knowledge- Must have!,• Technical knowledge on PSQL/Unix,•  Advanced interpersonal and team oriented skills,• Advanced written and verbal communications skills,• Intermediate to advanced computer skills,• Ability to adapt personal work style to accommodate an ever changing, diverse and global environment,• Ability to organize and prioritize multiple tasks simultaneously based on current business needs,Specific Skills needed,• Must have a good understanding of Core Products( Credit/Pre-paid/Debit),• Must be familiar with Card Payment Industries(Issuer & Acquirer),• You should be able to display superior Customer Service,• Must have financial acumen and understanding of the four party process model,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-77691"
,,,
"Consultant, Technical Program Management",  R-79320,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Technical Program Management,Are you a technical program manager who wants to shape the cloud platform for Mastercard’s digital, marketing, loyalty, and business services (DML) products? Do you want to work for a company that offers above and beyond benefits including paid parental leave, flexible work hours, gift matching, and even volunteer incentives?  Do you want to work in an inclusive and nurturing culture that encourages your own professional learning and development?,Over the next 12-18 months, we are breaking up our DML monoliths and re-platforming features into re-usable micro-services and APIs while we continue to innovate and deliver results for our customers. All net new capabilities will be built on the DML cloud platform supporting multi-tenancy and multi-geography capabilities for the company.  We are looking for seasoned technical program management professionals to join our team and help us build towards the future.  Our Technical Program Managers (TPM) conceptualize, rationalize, and drive multiple simultaneous projects to deliver engineering work across the portfolio in our scrum execution model. In this role, you get to dive as deep as you want into the tech stack, the integration patterns, the organizational capabilities, and the company wide assets that can be leveraged to provide technical solutions to customer problems.  You will contribute to the strategies, design choices, and even the cloud infrastructure necessary to build comprehensive believable and achievable execution plans to deliver high-profile new features and capabilities for our customers.  You may drive the execution of a feature through the full stack or may drive a project which spans multiple teams and integrations, reporting meaningful status along the way.,ABOUT YOU,• Demonstrated ability to operate with independence and autonomy,• Experience defining and building cloud-native software products as a platform at scale with a deep understanding of those platforms capabilities and underlying technologies.,• Demonstrated experience breaking down problems, organizing work, planning sprints, and delivering technical programs in agile delivery models (scrum, Kanban, etc.),• Experience working on programs to define and build cloud-native software products as a platform at scale,• Enjoys diving deep to understand of the platforms capabilities and underlying technologies.,• Proven track record of data driven decision-making and applying continuous improvement methodologies across teams,• Can debate the delivery strategy with business teams, architects, engineers, and designers,• Can communicate to executives, peers, and staff with impact, eloquence, and authenticity,• Demonstrated experience building relationships, partnering with and influencing dependent teams while commanding the respect of the individuals you work with across the organization,• Huge plus if you have expertise in Payments, IaaS, PaaS, serverless technology, CI/CD, NoSQL databases, microservices APIs, and distributed systems operations in a DevOps model,• BS in engineering, computer science or related discipline.,• 5-7 years technical program delivery experience including time developing and testing software,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-79320"
,,,
"Manager, Technical Program Management",  R-79329,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Manager, Technical Program Management,Are you a technical program leader who wants to shape the cloud platform for Mastercard’s digital, marketing, loyalty, and business services (DML) products? Are you a leader who is passionate about developing those working for you while building and nurturing an inclusive team culture? Do you want to work for a company that offers above and beyond benefits including paid parental leave, flexible work hours, gift matching, and even volunteer incentives while encouraging your own professional learning and development?  Do you want to lead a world class and highly technical team of skilled technical program managers building the technology behind the world’s fastest payments processing network?,The Director of Technical Program Management (TPM) leads a global team of TPMs who are conceptualizing, rationalizing, and driving multiple simultaneous projects to deliver engineering work across the portfolio in our scrum execution model. Your TPMs are technical and have a deep understanding of the platform, the integration patterns, the organizational capabilities, and the company wide assets that can be leveraged to provide technical solutions to customer problems.  Your TPMs contribute to the technical strategies, design choices, and even the cloud infrastructure necessary to build comprehensive believable and achievable execution plans to own and deliver high-profile new features and capabilities for our customers.  Your TPMs are comfortable driving the execution of a feature through the full stack or driving massive projects which span lots of teams and integrations while reporting meaningful status along the way.,In this role, you will:,• Lead a team of individual contributors and potentially first level managers,• Create a data driven and continuous learning culture across your organization and use this data to drive incremental improvements across DML,• Continuously monitor and analyze key performance indicators on the organization’s score card and move them in a positive direction,• Think strategically, but stay on top of tactical execution rigorously inspecting the delivery plans and execution metrics of your TPMs using your own tech depth and business acumen to assess risks and continuously raising the delivery bar,• Adapt to shifting goals and activities while managing multiple activities in parallel,• Build and cultivate strong internal relationships,• Manage escalations,• Actively encourage the development of your technical staff,All about you:,• Demonstrated ability to operate with complete independence and autonomy,• Experience with XP, TDD and BDD in the software development processes,• Extensive experience delivering technical programs so you know where to look to find all the potential landmines,• Proven track record of data driven decision making and applying continuous improvement methodologies across teams,• Experience in agile delivery methodologies (scrum, Kanban, etc.),• Can communicate to executives, peers, and staff with impact, eloquence, and authenticity,• Demonstrated experience building organizational relationships, partnering with and influencing executive leadership while commanding the respect of the individuals across the organization,• Demonstrated experience as people manager with the ability to attract, recruit, and develop technical talent,• Huge plus if you have payments expertise and experience/proficiency with cloud technologies (IaaS, PaaS, serverless technology, NoSQL databases), microservice design, CI/CD, near real-time, scalable fault tolerant platform design, API design, and distributed systems operations in a DevOps model,• BS in engineering, computer science or related discipline.,• 5-7 years technical program delivery experience including time developing software and developing people,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-79329"
,,,
Full Stack Developer (Mulesoft must),  R-76974,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Full Stack Developer (Mulesoft must),Overview,Regional Solutions team provides flexible and rapid capabilities that enable Mastercard to support markets and provide a delightful experience for our customers. This team partners with Regional Stakeholders to ensure we build products that are fit for market deployment such that they are scalable, configurable/reusable for other markets and fold back as global products.,This position will be responsible for developing high quality, secure, scalable Java web services and related custom Java applications based on technical/functional requirements specifications and design artefacts within expected time and budget.,Team members may be developers, testers, analysts, & architects. The team is cross-functional, which means that between all its members they possess sufficient skills to do the work. There is no dictated leadership hierarchy within the team members.,Role,• Responsible for programming, unit testing, integration testing, documentation, maintenance and support of systems application software in adherence with Mastercard standards, processes and best practices.,• Design and develop high quality, secure, scalable software solutions based on technical requirements specifications and design artifacts within expected time and budget,• Ensure code is easily maintainable and tracked in version control system,• Ensure solutions are consistent with MasterCard policies and standards for Security, Accessibility, and Privacy.,• Define and support consistent integration architecture of enterprise capabilities to maximize the opportunities of new customers, geographies and products.,All About You,Essential Knowledge, Skills, and Experience,• Expert in Java, J2EE, Web Services (REST, SOAP), API Gateway, ESB, Integration patterns, Security standards, Spring boot, Spring MVC, Spring 4.0, concurrency and threading, Collections,o Web application related technologies – Java, Spring, .NET,o Web technologies – JavaScript, React, JQuery, AngularJS,o Mobile App technologies – native iOS and/or Android development, cross-platform, wrappers,o API and Contract Testing using REST Assured/Postman/Swagger/SOAP UI + Groovy/Spring Cloud Contract,o Functional testing using Selenium/Jbehave,o Test Driven Development TDD Methodology and Unit Testing using Junit/XCTest,o Use of mocking frameworks such as API Service Virtualization/Mockito/OCMock,o Static Code Analysis using SonarQube/Xcode Static Analyzer,o Hands on with Jenkins/PCF or similar tools for automated provisioning of build and test infrastructure,o Troubleshooting with Splunk, API aids like Swagger/Postman and source control systems like Git,• Intermediate knowledge of Maven, Junit, Redis, NO SQL, Mongo DB, Oracle database, SQL, Unix command, Shell scripting, HTML, CSS, JavaScript, AJAX.,• Hands-on knowledge of tools like Sonar, Dynatrace, GIT, Rally/Jira, CI (Jenkin / Bamboo)/CD, Splunk,• Strong communication skills -- both verbal and written – with strong relationship, collaborative skills and organizational skills,Desired Knowledge, Skills, and Experience:,• Knowledge of cloud based hosting concepts using Pivotal Cloud Foundry (PCF) and 12 factor coding paradigm.,• Domain/Functional knowledge - Banking, Financial Services, Payments, Insurance, Retail, Technology etc.,• Multi-tiered Web application deployment knowhow, Capability of building high quality, highly secured & high performing payment processing solution.,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-76974"
,,,
"Consultant, Technical Program Management-1",  R-79133,"Vadodara, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Technical Program Management-1,Overview:,Are you a technical program manager who wants to shape the cloud platform for Mastercard’s digital, marketing, loyalty, and business services (DML) products? Do you want to work for a company that offers above and beyond benefits including paid parental leave, flexible work hours, gift matching, and even volunteer incentives? Do you want to work in an inclusive and nurturing culture that encourages your own professional learning and development?,Over the next 12-18 months, we are breaking up our DML monoliths and re-platforming features into re-usable micro-services and APIs while we continue to innovate and deliver results for our customers. All net new capabilities will be built on the DML cloud platform supporting multi-tenancy and multi-geography capabilities for the company. We are looking for seasoned technical program management professionals to join our team and help us build towards the future. Our Technical Program Managers (TPM) conceptualize, rationalize, and drive multiple simultaneous projects to deliver engineering work across the portfolio in our scrum execution model.,Responsibilities:,You get to dive as deep as you want into the tech stack, the integration patterns, the organizational capabilities, and the company wide assets that can be leveraged to provide technical solutions to customer problems. You will contribute to the strategies, design choices, and even the cloud infrastructure necessary to build comprehensive believable and achievable execution plans to deliver high-profile new features and capabilities for our customers. You may drive the execution of a feature through the full stack or may drive a project which spans multiple teams and integrations, reporting meaningful status along the way.,Experiences,• Demonstrated ability to operate with independence and autonomy,• Experience defining and building cloud-native software products as a platform at scale with a deep understanding of those platforms capabilities and underlying technologies.,• Demonstrated experience breaking down problems, organizing work, planning sprints, and delivering technical programs in agile delivery models (scrum, Kanban, etc.),• Experience working on programs to define and build cloud-native software products as a platform at scale,• Enjoys diving deep to understand of the platforms capabilities and underlying technologies.,• Proven track record of data driven decision-making and applying continuous improvement methodologies across teams,• Can debate the delivery strategy with business teams, architects, engineers, and designers,• Can communicate to executives, peers, and staff with impact, eloquence, and authenticity,• Demonstrated experience building relationships, partnering with and influencing dependent teams while commanding the respect of the individuals you work with across the organization,• Huge plus if you have expertise in Payments, IaaS, PaaS, serverless technology, CI/CD, NoSQL databases, microservices APIs, and distributed systems operations in a DevOps model,• BS in engineering, computer science or related discipline.,• Technical program delivery experience including time developing and testing software,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-79133"
,,,
